Harmonic Order (h)		Magnitude ((Ih/I1)*100 %)		Phase Angle (degree)
2                                   1.027342e-01                        9.588758e+01                       
3                                   1.120066e+01                        -1.737689e+02                      
4                                   5.353524e-02                        7.994845e+01                       
5                                   3.278942e+00                        1.775328e+02                       
6                                   3.580567e-02                        7.177476e+01                       
7                                   1.017320e+00                        1.709365e+02                       
8                                   2.595788e-02                        7.409605e+01                       
9                                   2.853767e-01                        1.632872e+02                       
10                                  2.059181e-02                        8.531707e+01                       
11                                  1.266796e-01                        1.552426e+02                       
12                                  1.836582e-02                        9.715719e+01                       
13                                  1.468660e-01                        1.535327e+02                       
14                                  1.729521e-02                        1.044412e+02                       
15                                  1.977897e-01                        1.517772e+02                       
16                                  1.626759e-02                        1.074827e+02                       
17                                  2.217586e-01                        1.487775e+02                       
18                                  1.625349e-02                        1.115589e+02                       
19                                  3.306363e-01                        1.461400e+02                       
20                                  1.402176e-02                        1.077677e+02                       
21                                  4.413082e-01                        1.429293e+02                       
22                                  7.554612e-03                        5.952895e+01                       
23                                  1.106244e-01                        1.366111e+02                       
24                                  1.100286e-02                        1.021652e+02                       
25                                  2.357327e-01                        1.350326e+02                       
26                                  8.429758e-03                        9.271159e+01                       
27                                  2.472948e-01                        1.315847e+02                       
28                                  5.130817e-03                        5.921430e+01                       
29                                  1.235812e-01                        1.270118e+02                       
30                                  5.271917e-03                        7.455360e+01                       
31                                  5.608921e-02                        1.214632e+02                       
32                                  9.983894e-03                        1.025480e+02                       
33                                  1.682897e-01                        1.206396e+02                       
34                                  7.904387e-03                        9.735011e+01                       
35                                  1.986329e-01                        1.173032e+02                       
36                                  6.514994e-03                        9.337905e+01                       
37                                  2.603707e-01                        1.139458e+02                       
38                                  2.220492e-03                        1.967927e+00                       
39                                  2.136691e-01                        1.103056e+02                       
40                                  5.177696e-03                        -5.233639e+01                      
41                                  1.447290e-01                        1.065847e+02                       
42                                  6.760242e-03                        -6.380515e+01                      
43                                  6.286442e-02                        1.025308e+02                       
44                                  2.308387e-03                        -5.487914e+01                      
45                                  1.197183e-01                        9.953250e+01                       
46                                  6.925187e-03                        -7.704300e+01                      
47                                  8.026789e-02                        9.595014e+01                       
48                                  8.155328e-03                        -8.354109e+01                      
49                                  8.167852e-02                        9.253161e+01                       
50                                  1.659482e-02                        -8.915745e+01                      
51                                  9.537746e-02                        -9.106821e+01                      
52                                  6.727121e-03                        -9.494778e+01                      
53                                  7.441391e-02                        -9.490372e+01                      
54                                  5.002588e-03                        -1.020447e+02                      
55                                  8.640351e-02                        -9.863687e+01                      
56                                  1.117426e-03                        -1.394270e+02                      
57                                  4.068101e-02                        -1.030011e+02                      
58                                  4.108950e-03                        -1.164680e+02                      
59                                  7.491440e-02                        -1.062442e+02                      
60                                  2.432551e-03                        -1.340367e+02                      
61                                  8.902484e-02                        -1.098526e+02                      
62                                  1.466039e-03                        1.286219e+02                       
63                                  8.711276e-02                        -1.135904e+02                      
64                                  4.651622e-03                        8.321551e+01                       
65                                  5.233273e-02                        -1.179509e+02                      
66                                  4.769194e-03                        8.090126e+01                       
67                                  3.519380e-02                        -1.225717e+02                      
68                                  5.121477e-03                        7.740098e+01                       
69                                  7.402457e-03                        -1.371143e+02                      
70                                  2.462020e-03                        1.012943e+02                       
71                                  1.866672e-02                        -1.328178e+02                      
72                                  2.177310e-03                        1.111652e+02                       
73                                  3.155418e-02                        -1.342798e+02                      
74                                  3.348543e-03                        8.353442e+01                       
75                                  2.304438e-02                        -1.393863e+02                      
76                                  3.765734e-03                        7.673715e+01                       
77                                  7.825499e-03                        -1.533933e+02                      
78                                  2.207518e-03                        1.129568e+02                       
79                                  2.902738e-02                        -1.458138e+02                      
80                                  3.859609e-03                        7.060686e+01                       
81                                  1.509643e-02                        -1.535062e+02                      
82                                  3.790778e-03                        6.843731e+01                       
83                                  6.794686e-03                        -1.678306e+02                      
84                                  3.221944e-03                        7.312762e+01                       
85                                  4.528485e-03                        1.779555e+02                       
86                                  2.888800e-03                        7.684506e+01                       
87                                  2.815460e-03                        1.508164e+02                       
88                                  2.541842e-03                        8.478833e+01                       
89                                  2.488354e-03                        1.351904e+02                       
90                                  2.304753e-03                        9.697683e+01                       
91                                  3.420435e-03                        1.555237e+02                       
92                                  2.253177e-03                        1.081095e+02                       
93                                  6.405749e-03                        1.726661e+02                       
94                                  2.261918e-03                        1.104545e+02                       
95                                  9.741113e-03                        1.763674e+02                       
96                                  2.221235e-03                        1.037150e+02                       
97                                  1.139959e-02                        1.748526e+02                       
98                                  2.177846e-03                        9.525837e+01                       
99                                  1.232370e-02                        1.722574e+02                       
100                                 2.157175e-03                        8.300461e+01                       
