time(sec)  velocity(km/h)  position(m)   Power(kW)
    1         2.04806         0.28445       284.45317
    2         4.09539         1.13771       568.80413
    3         6.14195         2.55956       853.04896
    4         8.18772         4.54980      1137.18379
    5        10.23267         7.10818      1421.20474
    6        12.27678        10.23450      1705.10791
    7        14.32000        13.92849      1988.88945
    8        16.36233        18.18993      2272.54548
    9        18.40372        23.01855      2556.07216
   10        20.44415        28.41409      2839.46562
   11        22.48360        34.37627      3122.72202
   12        24.52203        40.90483      3405.83754
   13        26.55942        47.99948      3688.80833
   14        28.59574        55.65992      3971.63059
   15        30.63096        63.88585      4254.30049
   16        32.66506        72.67696      4536.81424
   17        34.69801        82.03295      4819.16803
   18        36.72978        91.95347      5101.35808
   19        38.76034       102.43821      5383.38061
   20        40.78967       113.48682      5665.23186
   21        42.81774       125.09896      5946.90805
   22        44.84452       137.27428      6228.40545
   23        46.86999       150.01240      6509.72031
   24        48.89411       163.31297      6790.84890
   25        50.91687       177.17561      7071.78750
   26        52.93823       191.59993      7352.53240
   27        54.95818       206.58554      7633.07989
   28        56.97667       222.13205      7913.42629
   29        58.99369       238.23904      8193.56792
   30        61.00921       254.90611      8473.50112
   31        63.02320       272.13283      8753.22221
   32        65.03564       289.91878      9032.72757
   33        67.04650       308.26352      9312.01355
   34        69.05575       327.16661      9591.07653
   35        71.06337       346.62760      9869.91290
   36        73.06934       366.64603     10148.51907
   37        75.07362       387.22145     10426.89145
   38        77.07619       408.35336     10705.02646
   39        79.07703       430.04131     10982.92055
   40        81.07611       452.28480     11260.57016
   41        83.07340       475.08334     11537.97176
   42        85.06888       498.43644     11815.12184
   43        87.06252       522.34358     12092.01687
   44        89.05430       546.80425     12368.65336
   45        91.04420       571.81793     12645.02784
   46        93.03219       597.38409     12921.13684
   47        95.01823       623.50220     13196.97690
   48        97.00232       650.17173     13472.54458
   49        98.98442       677.39211     13747.83646
   50       100.96451       705.16279     14022.84912
   51       102.94257       733.48322     14297.57917
   52       104.91857       762.35282     14572.02323
   53       106.89248       791.77102     14846.17793
   54       108.86429       821.73724     15120.03992
   55       110.83396       852.25089     15393.60586
   56       112.80148       883.31137     15666.87244
   57       114.76682       914.91808     15939.83634
   58       116.72996       947.07041     16212.49428
   59       118.69087       979.76774     16484.84298
   60       120.64953      1013.00947     16756.87919
   61       122.60592      1046.79494     17028.59966
   62       124.56001      1081.12355     17300.00116
   63       126.51178      1115.99463     17571.08050
   64       128.46121      1151.40754     17841.83447
   65       130.40827      1187.36164     18112.25989
   66       132.35295      1223.85625     18382.35362
   67       134.29521      1260.89072     18652.11250
   68       136.23504      1298.46436     18921.53341
   69       138.17242      1336.57651     19190.61324
   70       140.10731      1375.22647     19459.34891
   71       142.03971      1414.41356     19727.73733
   72       143.96958      1454.13707     19995.77545
   73       145.89691      1494.39631     20263.46024
   74       147.82168      1535.19055     20530.78867
   75       149.74386      1576.51910     20797.75773
   76       151.66342      1618.38122     21064.36445
   77       153.56005      1660.77337     21093.86395
   78       155.43142      1703.68885     21087.22048
   79       157.27839      1747.12077     21080.89371
   80       159.10178      1791.06246     21074.86130
   81       160.90232      1835.50748     21069.10299
   82       162.68075      1880.44957     21063.60030
   83       164.43772      1925.88269     21058.33643
   84       166.17389      1971.80097     21053.29599
   85       167.88985      2018.19871     21048.46489
   86       169.58619      2065.07038     21043.83024
   87       171.26344      2112.41061     21039.38015
   88       172.92212      2160.21416     21035.10369
   89       174.56273      2208.47594     21030.99079
   90       176.18573      2257.19101     21027.03213
   91       177.79158      2306.35452     21023.21910
   92       179.38070      2355.96178     21019.54371
   93       180.95350      2406.00820     21015.99856
   94       182.51036      2456.48929     21012.57676
   95       184.05167      2507.40068     21009.27191
   96       185.57778      2558.73811     21006.07804
   97       187.08904      2610.49739     21002.98958
   98       188.58576      2662.67444     21000.00135
   99       190.06827      2715.26528     20997.10847
  100       191.53687      2768.26600     20994.30640
  101       192.99186      2821.67276     20991.59087
  102       194.43350      2875.48184     20988.95789
  103       195.86208      2929.68956     20986.40370
  104       197.27785      2984.29233     20983.92477
  105       198.68105      3039.28662     20981.51778
  106       200.07194      3094.66898     20979.17960
  107       201.45075      3150.43602     20976.90728
  108       202.81770      3206.58442     20974.69804
  109       204.17300      3263.11090     20972.54927
  110       205.51687      3320.01227     20970.45847
  111       206.84950      3377.28538     20968.42330
  112       208.17110      3434.92713     20966.44153
  113       209.48186      3492.93448     20964.51108
  114       210.78195      3551.30446     20962.62993
  115       212.07156      3610.03411     20960.79621
  116       213.35086      3669.12056     20959.00811
  117       214.62002      3728.56096     20957.26394
  118       215.87919      3788.35252     20955.56206
  119       217.12853      3848.49248     20953.90095
  120       218.36821      3908.97814     20952.27912
  121       219.59835      3969.80682     20950.69520
  122       220.81912      4030.97592     20949.14783
  123       222.03065      4092.48283     20947.63577
  124       223.23307      4154.32501     20946.15779
  125       224.42652      4216.49996     20944.71274
  126       225.61113      4279.00519     20943.29952
  127       226.78702      4341.83827     20941.91707
  128       227.95432      4404.99679     20940.56439
  129       229.11313      4468.47838     20939.24051
  130       230.26359      4532.28070     20937.94452
  131       231.40579      4596.40144     20936.67551
  132       232.53986      4660.83834     20935.43266
  133       233.66589      4725.58914     20934.21515
  134       233.66589      4790.49633      1243.32207
  135       233.66589      4855.40352      1243.32207
  136       233.66589      4920.31071      1243.32207
  137       233.66589      4985.21791      1243.32207
  138       233.66589      5050.12510      1243.32207
